商品ID,商品名,カテゴリ,在庫数,月間売上,仕入単価,販売単価,最終入荷日
P001,緑茶,飲料,18,120,80,150,2026-05-01
P002,コーヒー豆,飲料,72,25,550,980,2026-04-18
P003,ミネラルウォーター,飲料,140,95,60,120,2026-05-03
P004,炭酸水,飲料,16,88,70,140,2026-05-05
P005,オレンジジュース,飲料,44,52,110,220,2026-04-29
P006,紅茶ティーバッグ,飲料,30,65,180,380,2026-05-07
P007,エナジードリンク,飲料,12,98,140,280,2026-05-10
P008,スポーツドリンク,飲料,50,41,90,180,2026-04-27
P009,麦茶パック,飲料,85,30,160,320,2026-04-12
P010,プロテインドリンク,飲料,20,76,190,360,2026-05-09
P011,食パン,食品,14,82,95,180,2026-05-08
P012,カップラーメン,食品,120,58,130,220,2026-04-11
P013,レトルトカレー,食品,40,63,180,350,2026-05-02
P014,パスタ麺,食品,55,37,140,260,2026-04-20
P015,オリーブオイル,食品,22,44,420,780,2026-04-30
P016,シリアル,食品,33,49,260,480,2026-05-01
P017,冷凍餃子,食品,10,71,220,430,2026-05-06
P018,チョコレート菓子,食品,66,28,100,200,2026-04-22
P019,ポテトチップス,食品,95,35,90,170,2026-04-15
P020,ナッツミックス,食品,28,53,240,480,2026-05-04
P021,ノートPC,家電,8,18,68000,98000,2026-05-03
P022,ワイヤレスマウス,家電,38,46,1200,2480,2026-04-28
P023,USBメモリ32GB,家電,60,34,700,1480,2026-04-19
P024,外付けSSD,家電,11,25,6800,11800,2026-05-07
P025,液晶モニター,家電,7,14,12000,19800,2026-05-05
P026,Bluetoothイヤホン,家電,25,59,2800,5980,2026-05-01
P027,Webカメラ,家電,32,21,2400,4980,2026-04-24
P028,ノートPCスタンド,家電,54,19,950,1980,2026-04-17
P029,電源タップ,家電,77,27,480,980,2026-04-13
P030,スマホ充電器,家電,19,67,900,1980,2026-05-08
P031,コピー用紙A4,事務用品,130,62,320,580,2026-04-14
P032,ボールペン黒,事務用品,180,54,45,120,2026-04-08
P033,付箋メモ,事務用品,42,39,80,180,2026-05-02
P034,ホッチキス,事務用品,26,11,240,580,2026-04-21
P035,クリアファイル,事務用品,90,23,55,120,2026-04-18
P036,ホワイトボードマーカー,事務用品,48,31,75,180,2026-04-26
P037,ラベルシール,事務用品,15,44,180,420,2026-05-06
P038,封筒セット,事務用品,64,20,120,260,2026-04-09
P039,電卓,事務用品,9,17,680,1480,2026-05-01
P040,シュレッダー,事務用品,6,9,4200,7980,2026-05-04
P041,洗濯洗剤,日用品,35,66,220,480,2026-05-03
P042,柔軟剤,日用品,47,34,240,520,2026-04-25
P043,トイレットペーパー,日用品,120,73,280,480,2026-04-16
P044,ティッシュペーパー,日用品,110,69,240,420,2026-04-15
P045,キッチンペーパー,日用品,39,40,180,360,2026-04-29
P046,ハンドソープ,日用品,24,57,160,320,2026-05-07
P047,マスク50枚入,日用品,75,22,280,580,2026-04-12
P048,除菌スプレー,日用品,18,61,190,420,2026-05-08
P049,ゴミ袋45L,日用品,82,29,210,450,2026-04-23
P050,スポンジセット,日用品,52,33,100,220,2026-04-20
P051,猫用フード,ペット用品,28,49,380,720,2026-05-02
P052,犬用おやつ,ペット用品,45,31,260,520,2026-04-24
P053,猫砂,ペット用品,19,44,480,880,2026-05-01
P054,ペットシーツ,ペット用品,58,26,520,980,2026-04-17
P055,爪とぎボード,ペット用品,33,15,240,520,2026-04-10
P056,ペットブラシ,ペット用品,21,22,340,780,2026-04-30
P057,犬用リード,ペット用品,12,18,680,1480,2026-05-05
P058,ペット給水器,ペット用品,9,12,2200,4280,2026-05-06
P059,猫用ベッド,ペット用品,6,10,1800,3980,2026-05-03
P060,犬用ケージ,ペット用品,4,7,6800,12800,2026-05-04
P061,ヨガマット,スポーツ,22,38,980,1980,2026-04-28
P062,ダンベル5kg,スポーツ,15,20,1800,3980,2026-05-01
P063,ランニングシューズ,スポーツ,13,29,4200,7980,2026-05-07
P064,スポーツタオル,スポーツ,55,24,320,680,2026-04-19
P065,テニスボール,スポーツ,88,16,120,280,2026-04-14
P066,サッカーボール,スポーツ,11,13,1800,3980,2026-05-02
P067,野球グローブ,スポーツ,8,9,4800,9800,2026-05-08
P068,縄跳び,スポーツ,44,18,180,420,2026-04-25
P069,水泳ゴーグル,スポーツ,27,14,580,1280,2026-04-27
P070,トレーニングチューブ,スポーツ,31,17,420,980,2026-04-22
P071,シャンプー,美容,34,63,280,620,2026-05-01
P072,コンディショナー,美容,28,52,280,620,2026-05-02
P073,洗顔フォーム,美容,49,27,220,480,2026-04-26
P074,化粧水,美容,17,39,680,1480,2026-05-05
P075,乳液,美容,14,31,720,1580,2026-05-07
P076,日焼け止め,美容,19,42,480,980,2026-05-08
P077,ヘアワックス,美容,24,21,320,720,2026-04-18
P078,フェイスマスク,美容,61,19,120,280,2026-04-13
P079,香水ミニボトル,美容,8,11,1200,2980,2026-05-06
P080,電動シェーバー,美容,5,8,4200,9800,2026-05-09
P081,LED電球,生活雑貨,72,32,180,420,2026-04-15
P082,延長コード,生活雑貨,43,18,320,780,2026-04-22
P083,収納ボックス,生活雑貨,29,26,480,980,2026-04-30
P084,折りたたみ傘,生活雑貨,16,33,680,1480,2026-05-04
P085,エコバッグ,生活雑貨,58,20,220,520,2026-04-12
P086,掛け時計,生活雑貨,9,12,1200,2480,2026-05-03
P087,LEDデスクライト,生活雑貨,7,14,2800,5980,2026-05-08
P088,タンブラー,生活雑貨,36,16,420,980,2026-04-24
